month,no_of_rainy_days
1982-01,10
1982-02,5
1982-03,11
1982-04,14
1982-05,10
1982-06,8
1982-07,8
1982-08,11
1982-09,9
1982-10,10
1982-11,13
1982-12,21
1983-01,18
1983-02,2
1983-03,2
1983-04,4
1983-05,11
1983-06,11
1983-07,18
1983-08,10
1983-09,18
1983-10,17
1983-11,18
1983-12,16
1984-01,18
1984-02,19
1984-03,19
1984-04,17
1984-05,12
1984-06,14
1984-07,12
1984-08,13
1984-09,17
1984-10,11
1984-11,17
1984-12,22
1985-01,7
1985-02,11
1985-03,13
1985-04,14
1985-05,12
1985-06,14
1985-07,17
1985-08,11
1985-09,18
1985-10,21
1985-11,21
1985-12,22
1986-01,13
1986-02,2
1986-03,17
1986-04,14
1986-05,13
1986-06,13
1986-07,12
1986-08,11
1986-09,22
1986-10,20
1986-11,21
1986-12,16
1987-01,16
1987-02,7
1987-03,12
1987-04,10
1987-05,16
1987-06,15
1987-07,11
1987-08,16
1987-09,11
1987-10,9
1987-11,17
1987-12,11
1988-01,15
1988-02,9
1988-03,15
1988-04,13
1988-05,14
1988-06,13
1988-07,15
1988-08,14
1988-09,14
1988-10,17
1988-11,23
1988-12,11
1989-01,10
1989-02,3
1989-03,21
1989-04,17
1989-05,12
1989-06,12
1989-07,12
1989-08,18
1989-09,14
1989-10,16
1989-11,20
1989-12,18
1990-01,13
1990-02,8
1990-03,4
1990-04,10
1990-05,11
1990-06,9
1990-07,12
1990-08,13
1990-09,17
1990-10,12
1990-11,17
1990-12,16
1991-01,13
1991-02,7
1991-03,10
1991-04,13
1991-05,23
1991-06,9
1991-07,8
1991-08,8
1991-09,12
1991-10,5
1991-11,19
1991-12,19
1992-01,9
1992-02,4
1992-03,6
1992-04,13
1992-05,13
1992-06,14
1992-07,19
1992-08,11
1992-09,13
1992-10,20
1992-11,18
1992-12,23
1993-01,11
1993-02,8
1993-03,14
1993-04,20
1993-05,10
1993-06,17
1993-07,15
1993-08,11
1993-09,7
1993-10,13
1993-11,18
1993-12,19
1994-01,7
1994-02,15
1994-03,19
1994-04,15
1994-05,16
1994-06,14
1994-07,6
1994-08,12
1994-09,6
1994-10,11
1994-11,21
1994-12,18
1995-01,21
1995-02,16
1995-03,10
1995-04,16
1995-05,11
1995-06,12
1995-07,13
1995-08,21
1995-09,7
1995-10,12
1995-11,20
1995-12,20
1996-01,10
1996-02,11
1996-03,8
1996-04,15
1996-05,15
1996-06,15
1996-07,10
1996-08,18
1996-09,18
1996-10,19
1996-11,16
1996-12,15
1997-01,3
1997-02,8
1997-03,10
1997-04,12
1997-05,6
1997-06,12
1997-07,9
1997-08,9
1997-09,3
1997-10,8
1997-11,13
1997-12,23
1998-01,13
1998-02,5
1998-03,7
1998-04,13
1998-05,18
1998-06,15
1998-07,18
1998-08,18
1998-09,17
1998-10,20
1998-11,11
1998-12,22
1999-01,19
1999-02,9
1999-03,16
1999-04,14
1999-05,13
1999-06,13
1999-07,11
1999-08,13
1999-09,13
1999-10,20
1999-11,19
1999-12,17
2000-01,14
2000-02,18
2000-03,15
2000-04,20
2000-05,10
2000-06,16
2000-07,12
2000-08,18
2000-09,12
2000-10,14
2000-11,21
2000-12,18
2001-01,21
2001-02,11
2001-03,20
2001-04,18
2001-05,12
2001-06,11
2001-07,9
2001-08,14
2001-09,13
2001-10,20
2001-11,15
2001-12,20
2002-01,11
2002-02,2
2002-03,8
2002-04,13
2002-05,13
2002-06,12
2002-07,11
2002-08,14
2002-09,9
2002-10,7
2002-11,15
2002-12,24
2003-01,20
2003-02,13
2003-03,11
2003-04,20
2003-05,11
2003-06,12
2003-07,14
2003-08,13
2003-09,15
2003-10,21
2003-11,19
2003-12,17
2004-01,13
2004-02,4
2004-03,16
